URL,Thumbnail,Title,Name,Address Origin,Address,Number of Bedrooms,Number of Bathrooms,Area,Price
https://rever.vn/mua/can-ho-westgate-huong-ban-cong-dong-nam-noi-that-co-ban-dien-tich-59m2-4,https://photo.rever.vn/v3/get/rvnQQX2UTBKeiR2m9NwXQlanK2qmugJUTtlp_LTknvViDiBMChKOcCEab5_LyK1Aac33bq8swFdgxP6_wP4Dvirw==/750x500/image.jpg,Căn hộ Westgate hướng ban công đông nam nội thất cơ bản diện tích 59m²,Căn hộ Westgate hướng ban công đông nam nội thất cơ bản diện tích 59m²,[object Object],"Tân Túc, Bình Chánh",2,2,59,2.88 tỷ
https://rever.vn/mua/can-ho-the-golden-dynasty-hoang-kim-the-gia-noi-that-co-ban-dien-tich-145m2,https://photo.rever.vn/v3/get/rvP5Oz3JZPEEAgueTVJRFgnCUfCAE9IQNUAo2Q28uvwAG12m8RrLp84ht+i_9VPa7+aFIF8X0uT9dqlxmfo73vCw==/750x500/image.jpg,Căn hộ The Golden Dynasty (Hoàng Kim Thế Gia) nội thất cơ bản diện tích 145m²,Căn hộ The Golden Dynasty (Hoàng Kim Thế Gia) nội thất cơ bản diện tích 145m²,[object Object],"Trương Phước Phan, Bình Tân",4,4,145,3.9 tỷ
https://rever.vn/mua/can-ho-estella-heights-dien-tich-89m2,https://photo.rever.vn/photo/v3/get/rvjy9Y_6SO1LA2Xl9zb5S+YDS6kS4Q3siTVe_CmarBIKtwcGYFWxbRvqEPfZ7Gg6Vl7zaXS2+5lPiVTCm71DOm6Q==/750x500/image.jpg,"Căn hộ Estella Heights, diện tích 89m²","Căn hộ Estella Heights, diện tích 89m²",[object Object],"Xa Lộ Hà Nội, Quận 2",2,2,89,8.1 tỷ
https://rever.vn/mua/can-ho-one-verandah-huong-dong-nam-dien-tich-50m2,https://photo.rever.vn/photo/v3/get/rv7iToCGIvqMQp3QymD4BOa3ABgUmOFhf7HuMD9W+I1h2+Mi7dTsPtgMrIwXs8Z3+4Uw0OoKxyhYP+pXCbSdDVLQ==/750x500/image.jpg,"Căn hộ One Verandah hướng Đông Nam, diện tích 50m²","Căn hộ One Verandah hướng Đông Nam, diện tích 50m²",[object Object],"Tạ Hiện, Quận 2",1,1,50,4.4 tỷ
https://rever.vn/mua/can-ho-sunrise-city-huong-tay-dien-tich-76m2-1,https://photo.rever.vn/v3/get/rv6Epi8ABl_hg5MWe_GDnlWrq9H2httc5cU9KC9DKSDnwzhH8Fg39LY9hCp7nCCmS7lBMDk8SSM2Br2NyxLdeVzQ==/750x500/image.jpg,"Căn hộ Sunrise City hướng Tây, diện tích 76m²","Căn hộ Sunrise City hướng Tây, diện tích 76m²",[object Object],"Nguyễn Hữu Thọ, Quận 7",2,2,76,4.2 tỷ
https://rever.vn/mua/can-ho-sunrise-city-huong-dong-bac-dien-tich-105-75m2,https://photo.rever.vn/photo/v3/get/rvhjw+6wG4W392UBTrABRLrfG5Rp9QYQc2obXawbrAuaxV0_QkIYj46sh_EECoLQlyHTplGLSD0Zb0RWY+OjIdzg==/750x500/image.jpg,"Căn hộ Sunrise City hướng Đông Bắc, diện tích 105.75m²","Căn hộ Sunrise City hướng Đông Bắc, diện tích 105.75m²",[object Object],"Nguyễn Hữu Thọ, Quận 7",2,2,105.75,4.65 tỷ
https://rever.vn/mua/chuyen-nhuong-can-ho-sadora-apartment-3-phong-ngu,https://photo.rever.vn/photo/v3/get/rvjI_7hQA3i4rmhMn1r0UHY7+Eq0hPKfsgBs5a2JZmKbX0JA+7Sai26EdukmtLciF4IGdkEqHprjcnzMJW00AzXg==/750x500/image.jpg,Chuyển nhượng căn hộ Sadora Apartment 3 phòng ngủ ,Chuyển nhượng căn hộ Sadora Apartment 3 phòng ngủ ,[object Object],"Mai Chí Thọ, Quận 2",3,2,113,9.7 tỷ
https://rever.vn/mua/can-ho-chung-cu-the-ky-21-huong-nam-dien-tich-75m2,https://photo.rever.vn/photo/v3/get/rvfG9qdPpjI29sKRU90OecvCQSzL2B9irkxiD+IhlPA_x6yLflWyo7UmMziS2qTdfARvvdip7N7h5PHtI6DCPdpA==/750x500/image.jpg,"Căn hộ Chung cư thế kỷ 21 hướng Nam, diện tích 75m²","Căn hộ Chung cư thế kỷ 21 hướng Nam, diện tích 75m²",[object Object],"Ung Văn Khiêm, Bình Thạnh",2,1,75,3.05 tỷ
https://rever.vn/mua/can-ho-lexington-residence-2-phong-ngu-dien-tich-lon-noi-that-dep,https://photo.rever.vn/photo/v3/get/rvW_huPQdlNEsAHh2rcHSg6Zfu0ftHbhaH32lKtM5jxUNQzfBt8AMF5yHQGMdQnCS1pn257q3KSlaKVDgVRNCpCA==/750x500/image.jpg,Căn hộ Lexington Residence 2 Phòng ngủ diện tích lớn nội thất đẹp,Căn hộ Lexington Residence 2 Phòng ngủ diện tích lớn nội thất đẹp,[object Object],"Mai Chí Thọ, Quận 2",2,2,82,3.79 tỷ
https://rever.vn/mua/can-ho-celadon-city-noi-that-co-ban-dien-tich-70m2,https://photo.rever.vn/v3/get/rvWXzT_0+Q0EmgQ3M7DfOmRyoSodK2tXNsmy1q3KrYzXkUlbUSgUyyhJmeXNWiAGinYaAgMJOUlxdg2S7vYVJwww==/750x500/image.jpg,Căn hộ Celadon City nội thất cơ bản diện tích 70m²,Căn hộ Celadon City nội thất cơ bản diện tích 70m²,[object Object],"Đường N1, Tân Phú",2,2,70,2.5 tỷ
